unified_id,platform,show_id,original_title,original_year
UT00126,amazon,s160,Wallaby Jim of the Islands,1937
UT00127,amazon,s772,The Amazing Adventure,1937
UT00128,amazon,s775,The Affairs of Cappy Ricks,1937
UT00129,amazon,s901,Stella Dallas (1937),1937
UT00130,amazon,s948,Something To Sing About,1937
UT00131,amazon,s979,Sky Racket,1937
UT00132,amazon,s1005,Silver Blaze,1937
UT00133,amazon,s1068,Secret Valley,1937
UT00134,amazon,s1154,Riders of the Rockies,1937
UT00135,amazon,s1170,Rhythm In the Clouds,1937
UT00136,amazon,s1182,Renfrew Of The Royal Mounted,1937
UT00137,amazon,s1761,Make A Wish,1937
UT00138,amazon,s1909,Lady Behave!,1937
UT00139,amazon,s2221,Heroes of the Alamo,1937
UT00140,amazon,s2991,Boy of the Streets,1937
UT00141,amazon,s3088,Beware of Ladies,1937
UT00142,amazon,s3320,All Over Town,1937
UT00143,amazon,s3615,Mystery Of The Hooded Horsemen,1937
UT00144,amazon,s3890,Dead End,1937
UT00145,amazon,s4023,Heart Of The Rockies,1937
UT00146,amazon,s4187,Telephone Operator,1937
UT00147,amazon,s4296,Bank Alarm,1937
UT00148,amazon,s6155,Paradise Isle,1937
UT00149,disney,s755,Boat Builders,1938
UT00150,disney,s864,Donald's Golf Game,1938
UT00151,disney,s888,Ferdinand the Bull,1938
UT00152,disney,s1079,Mickey's Trailer,1938
UT00153,disney,s1432,Brave Little Tailor,1938
UT00154,amazon,s223,Under Western Stars,1938
UT00155,amazon,s1106,Saleslady,1938
UT00156,amazon,s1576,Mr. Wong Detective,1938
UT00157,amazon,s1693,Meet The Mayor,1938
UT00158,amazon,s2224,Here's Flash Casey,1938
UT00159,amazon,s2231,Held For Ransom,1938
UT00160,amazon,s2597,Duke Is Tops,1938
UT00161,amazon,s2805,Come On Rangers,1938
UT00162,amazon,s3149,Barefoot Boy (1938),1938
UT00163,amazon,s3979,Wives Under Suspicion,1938
UT00164,amazon,s4744,Trade Winds,1938
UT00165,amazon,s4781,I Met My Love Again,1938
UT00166,amazon,s4792,Blockade,1938
UT00167,amazon,s6610,The Hurricane,1938
UT00168,amazon,s7045,Blondie,1938
UT00169,disney,s588,Sea Scouts,1939
UT00170,disney,s742,Beach Picnic,1939
UT00171,disney,s1204,Society Dog Show,1939
UT00172,disney,s1286,The Hockey Champ,1939
UT00173,disney,s1353,The Ugly Duckling,1939
UT00174,amazon,s161,Wall Street Cowboy,1939
UT00175,amazon,s473,The Real Glory,1939
UT00176,amazon,s656,The Flying Deuces,1939
UT00177,amazon,s917,Stagecoach - The Original John Wayne Classic,1939
UT00178,amazon,s931,Southward Ho!,1939
UT00179,amazon,s1223,Raffles (1939),1939
